,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
161,Joker,I 2019,122,8.4,59,"1,140,433",$335.45M,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
162,Ratsasan,2018,170,8.4,Nan,"37,823",Nan,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.,Ram Kumar,"['Vishnu Vishal', 'Amala Paul', 'Radha Ravi', 'Sangili Murugan']"
163,Ayla: The Daughter of War,2017,125,8.4,Nan,"38,122",Nan,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »","Directors:Can Ulkay, Halenur Uzunoglu","['Çetin Tekindor', 'Ismail Hacioglu', 'Kyung-jin Lee', 'Kim Seol']"
164,Kimi no na wa.,2016,106,8.4,79,"240,231",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']"
165,Dangal,2016,161,8.4,Nan,"177,898",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
166,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,"468,615",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']"
167,Avengers: Endgame,2019,181,8.4,78,"1,009,668",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Directors:Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
168,Avengers: Infinity War,2018,149,8.4,68,"978,404",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Directors:Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']"
169,Coco,I 2017,105,8.4,81,"460,262",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Directors:Lee Unkrich, Adrian Molina","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']"
170,Django Unchained,2012,165,8.4,81,"1,468,574",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.",Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']"
171,The Dark Knight Rises,2012,164,8.4,78,"1,615,621",$448.14M,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
172,3 Idiots,2009,170,8.4,67,"378,083",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
173,Taare Zameen Par,2007,165,8.4,Nan,"185,367",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Directors:Aamir Khan, Amole Gupte","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']"
174,WALL·E,2008,98,8.4,95,"1,067,559",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']"
175,The Lives of Others,2006,137,8.4,89,"379,379",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']"
176,Oldeuboi,2003,101,8.4,77,"554,140",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Park Chan-wook,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']"
177,Memento,2000,113,8.4,80,"1,192,556",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
178,Mononoke-hime,1997,134,8.4,76,"375,323",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']"
179,Raiders of the Lost Ark,1981,115,8.4,85,"933,417",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
180,The Shining,1980,146,8.4,66,"969,653",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
181,Apocalypse Now,1979,147,8.4,94,"642,854",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']"
182,Alien,1979,117,8.4,89,"842,082",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
183,Tengoku to jigoku,1963,143,8.4,Nan,"41,577",#79,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']"
184,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,"475,060",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']"
185,Witness for the Prosecution,1957,116,8.4,Nan,"120,110",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']"
186,Paths of Glory,1957,88,8.4,90,"190,880",#60,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
187,Pather Panchali,1955,125,8.4,Nan,"30,456",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi']"
188,Sunset Blvd.,1950,110,8.4,Nan,"215,100",#61,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
189,The Great Dictator,1940,125,8.4,Nan,"217,507",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
190,Chhichhore,2019,143,8.3,Nan,"47,550",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Nitesh Tiwari,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar']"
191,1917,2019,119,8.3,78,"529,917",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
192,Uri: The Surgical Strike,2019,138,8.3,Nan,"55,176",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']"
193,Tumbbad,2018,104,8.3,Nan,"39,757",Nan,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date', 'Ronjini Chakraborty']"
194,K.G.F: Chapter 1,2018,156,8.3,Nan,"54,515",Nan,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine.",Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
195,Vikram Vedha,2017,147,8.3,Nan,"35,901",Nan,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Directors:Gayatri, Pushkar","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']"
196,Drishyam,2013,160,8.3,Nan,"39,570",#244,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']"
197,Jagten,2012,115,8.3,77,"313,647",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
198,Jodaeiye Nader az Simin,2011,123,8.3,95,"238,130",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']"
199,Incendies,2010,131,8.3,80,"168,727",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']"
200,Jai Bhim,2021,164,9.3,Nan,"173,295",#139,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan', 'Rajisha Vijayan']"
201,The Shawshank Redemption,1994,142,9.3,80,"2,541,091",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']"
202,The Godfather,1972,175,9.2,100,"1,748,410",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
203,Soorarai Pottru,2020,153,9.1,Nan,"107,159",Nan,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Sudha Kongara,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Prakash Belawadi']"
204,The Dark Knight,2008,152,9.0,84,"2,491,371",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
205,The Godfather: Part II,1974,202,9.0,90,"1,212,675",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']"
206,12 Angry Men,1957,96,9.0,96,"750,853",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']"
207,The Lord of the Rings: The Return of the King,2003,201,8.9,94,"1,752,093",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
208,Pulp Fiction,1994,154,8.9,94,"1,955,203",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
209,Schindler's List,1993,195,8.9,94,"1,297,426",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
210,Inception,2010,148,8.8,74,"2,231,967",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
211,Fight Club,1999,139,8.8,66,"1,999,930",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
212,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,773,739",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
213,Forrest Gump,1994,142,8.8,82,"1,960,705",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
214,"Il buono, il brutto, il cattivo",1966,161,8.8,90,"733,443",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
215,Spider-Man: No Way Home,2021,148,8.7,71,"446,741",#26,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']"
216,Dara iz Jasenovca,2020,130,8.7,Nan,"80,317",Nan,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,Predrag Antonijevic,"['Biljana Cekic', 'Zlatan Vidovic', 'Anja Stanic', 'Luka Saranovic']"
217,Shershaah,2021,135,8.7,Nan,"112,894",Nan,"The story of PVC awardee Indian soldier Capt. Vikram Batra, who shot to fame and became a household name during the Kargil War in 1999.",Vishnuvardhan,"['Sidharth Malhotra', 'Kiara Advani', 'Shiv Panditt', 'Pranay Pachauri']"
218,Sardar Udham,2021,164,8.7,Nan,"35,937",Nan,A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.,Shoojit Sircar,"['Vicky Kaushal', 'Banita Sandhu', 'Shaun Scott', 'Stephen Hogan']"
219,The Lord of the Rings: The Two Towers,2002,179,8.7,87,"1,583,030",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
220,The Matrix,1999,136,8.7,73,"1,833,574",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
221,Goodfellas,1990,146,8.7,90,"1,098,360",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
222,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"1,232,350",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
223,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"971,935",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
224,Gisaengchung,2019,132,8.6,96,"715,000",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,Bong Joon Ho,"['Kang-ho Song', 'Sun-kyun Lee', 'Yeo-jeong Cho', 'Woo-sik Choi']"
225,Drishyam 2,2021,152,8.6,Nan,"33,758",Nan,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Jeethu Joseph,"['Mohanlal', 'Meena', 'Ansiba', 'Esther Anil']"
226,Interstellar,2014,169,8.6,74,"1,686,136",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
227,Cidade de Deus,2002,130,8.6,79,"733,935",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Directors:Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']"
228,Sen to Chihiro no kamikakushi,2001,125,8.6,96,"717,130",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
229,Saving Private Ryan,1998,169,8.6,91,"1,325,681",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
230,The Green Mile,1999,189,8.6,61,"1,236,038",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
231,La vita è bella,1997,116,8.6,59,"667,465",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",Roberto Benigni,"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
232,Se7en,1995,127,8.6,65,"1,558,328",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
233,The Silence of the Lambs,1991,118,8.6,85,"1,365,108",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
234,Star Wars,1977,121,8.6,90,"1,303,834",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']"
235,Seppuku,1962,133,8.6,85,"52,120",#33,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Masaki Kobayashi,"['Tatsuya Nakadai', 'Akira Ishihama', 'Shima Iwashita', 'Tetsurô Tanba']"
236,Shichinin no samurai,1954,207,8.6,98,"335,289",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Akira Kurosawa,"['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']"
237,It's a Wonderful Life,1946,130,8.6,89,"439,422",#24,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
238,96,II 2018,158,8.5,Nan,"27,527",Nan,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,C. Prem Kumar,"['Vijay Sethupathi', 'Adithya Bhaskar', 'Trisha Krishnan', 'Gouri Kishan']"
239,Whiplash,2014,106,8.5,88,"790,012",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
240,The Intouchables,2011,112,8.5,57,"818,498",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Directors:Olivier Nakache, Éric Toledano","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']"
241,The Prestige,2006,130,8.5,66,"1,275,216",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']"
242,The Departed,2006,151,8.5,85,"1,268,485",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']"
243,The Pianist,2002,150,8.5,85,"792,133",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Roman Polanski,"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']"
244,Gladiator,2000,155,8.5,67,"1,433,333",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
245,American History X,1998,119,8.5,62,"1,085,169",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']"
246,The Usual Suspects,1995,106,8.5,77,"1,048,782",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']"
247,Léon,1994,110,8.5,64,"1,109,950",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
248,The Lion King,1994,88,8.5,88,"1,008,208",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Directors:Roger Allers, Rob Minkoff","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']"
249,Terminator 2: Judgment Day,1991,137,8.5,75,"1,054,937",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
250,Nuovo Cinema Paradiso,1988,155,8.5,80,"251,126",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']"
251,Hotaru no haka,1988,89,8.5,94,"261,106",#41,A young boy and his little sister struggle to survive in Japan during World War II.,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara']"
252,Back to the Future,1985,116,8.5,87,"1,142,127",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
253,Once Upon a Time in the West,1968,165,8.5,80,"320,006",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']"
254,Psycho,1960,109,8.5,97,"644,878",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
255,Rear Window,1954,112,8.5,100,"474,965",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.",Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']"
256,Casablanca,1942,102,8.5,100,"553,188",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,Michael Curtiz,"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']"
